epoch,step,train/loss_epoch,train/loss_step,val/error_u,val/loss,val/loss_best
103,103,11598.4375,,,,
104,104,,11594.6396484375,,,
104,104,11594.6396484375,,,,
105,105,,11590.5986328125,,,
105,105,11590.5986328125,,,,
106,106,,11586.2939453125,,,
106,106,11586.2939453125,,,,
107,107,,11581.703125,,,
107,107,11581.703125,,,,
108,108,,11576.8076171875,,,
108,108,11576.8076171875,,,,
109,109,,11571.580078125,,,
109,109,11571.580078125,,,,
110,110,,11565.9912109375,,,
110,110,11565.9912109375,,,,
111,111,,11560.0146484375,,,
111,111,11560.0146484375,,,,
112,112,,11553.615234375,,,
112,112,11553.615234375,,,,
113,113,,11546.7587890625,,,
113,113,11546.7587890625,,,,
114,114,,11539.40625,,,
114,114,11539.40625,,,,
115,115,,11531.515625,,,
115,115,11531.515625,,,,
116,116,,11523.041015625,,,
116,116,11523.041015625,,,,
117,117,,11513.9326171875,,,
117,117,11513.9326171875,,,,
118,118,,11504.1337890625,,,
118,118,11504.1337890625,,,,
119,119,,11493.5849609375,,,
119,119,11493.5849609375,,,,
120,120,,11482.2216796875,,,
120,120,11482.2216796875,,,,
121,121,,11469.970703125,,,
121,121,11469.970703125,,,,
122,122,,11456.755859375,,,
122,122,11456.755859375,,,,
123,123,,11442.490234375,,,
123,123,11442.490234375,,,,
124,124,,11427.0830078125,,,
124,124,11427.0830078125,,,,
125,125,,11410.431640625,,,
125,125,11410.431640625,,,,
126,126,,11392.4267578125,,,
126,126,11392.4267578125,,,,
127,127,,11372.951171875,,,
127,127,11372.951171875,,,,
128,128,,11351.875,,,
128,128,11351.875,,,,
129,129,,11329.05859375,,,
129,129,11329.05859375,,,,
130,130,,11304.3525390625,,,
130,130,11304.3525390625,,,,
131,131,,11277.595703125,,,
131,131,11277.595703125,,,,
132,132,,11248.609375,,,
132,132,11248.609375,,,,
133,133,,11217.2119140625,,,
133,133,11217.2119140625,,,,
134,134,,11183.19921875,,,
134,134,11183.19921875,,,,
135,135,,11146.3564453125,,,
135,135,11146.3564453125,,,,
136,136,,11106.455078125,,,
136,136,11106.455078125,,,,
137,137,,11063.255859375,,,
137,137,11063.255859375,,,,
138,138,,11016.5009765625,,,
138,138,11016.5009765625,,,,
139,139,,10965.91796875,,,
139,139,10965.91796875,,,,
140,140,,10911.228515625,,,
140,140,10911.228515625,,,,
141,141,,10852.134765625,,,
141,141,10852.134765625,,,,
142,142,,10788.3330078125,,,
142,142,10788.3330078125,,,,
143,143,,10719.5078125,,,
143,143,10719.5078125,,,,
144,144,,10645.337890625,,,
144,144,10645.337890625,,,,
145,145,,10565.494140625,,,
145,145,10565.494140625,,,,
146,146,,10479.650390625,,,
146,146,10479.650390625,,,,
147,147,,10387.4736328125,,,
147,147,10387.4736328125,,,,
148,148,,10288.640625,,,
148,148,10288.640625,,,,
149,149,,10182.8330078125,,,
149,149,10182.8330078125,,,,
150,150,,10069.740234375,,,
150,150,10069.740234375,,,,
151,151,,9949.0703125,,,
151,151,9949.0703125,,,,
152,152,,9820.5419921875,,,
152,152,9820.5419921875,,,,
153,153,,9683.91015625,,,
153,153,9683.91015625,,,,
154,154,,9538.943359375,,,
154,154,9538.943359375,,,,
155,155,,9385.44921875,,,
155,155,9385.44921875,,,,
156,156,,9223.2763671875,,,
156,156,9223.2763671875,,,,
157,157,,9052.3115234375,,,
157,157,9052.3115234375,,,,
158,158,,8872.494140625,,,
158,158,8872.494140625,,,,
159,159,,8683.822265625,,,
159,159,8683.822265625,,,,
160,160,,8486.3544921875,,,
160,160,8486.3544921875,,,,
161,161,,8280.224609375,,,
161,161,8280.224609375,,,,
162,162,,8065.6513671875,,,
162,162,8065.6513671875,,,,
163,163,,7842.94287109375,,,
163,163,7842.94287109375,,,,
164,164,,7612.5126953125,,,
164,164,7612.5126953125,,,,
165,165,,7374.8876953125,,,
165,165,7374.8876953125,,,,
166,166,,7130.7294921875,,,
166,166,7130.7294921875,,,,
167,167,,6880.84130859375,,,
167,167,6880.84130859375,,,,
168,168,,6626.21923828125,,,
168,168,6626.21923828125,,,,
169,169,,6368.73291015625,,,
169,169,6368.73291015625,,,,
170,170,,6125.41015625,,,
170,170,6125.41015625,,,,
171,171,,6017.02392578125,,,
171,171,6017.02392578125,,,,
172,172,,5742.41552734375,,,
172,172,5742.41552734375,,,,
173,173,,5385.94580078125,,,
173,173,5385.94580078125,,,,
174,174,,5263.57568359375,,,
174,174,5263.57568359375,,,,
175,175,,4894.728515625,,,
175,175,4894.728515625,,,,
176,176,,4794.24072265625,,,
176,176,4794.24072265625,,,,
177,177,,4454.48876953125,,,
177,177,4454.48876953125,,,,
178,178,,4364.95849609375,,,
178,178,4364.95849609375,,,,
179,179,,4066.11083984375,,,
179,179,4066.11083984375,,,,
180,180,,3990.95556640625,,,
180,180,3990.95556640625,,,,
181,181,,3737.772216796875,,,
181,181,3737.772216796875,,,,
182,182,,3683.015625,,,
182,182,3683.015625,,,,
183,183,,3476.150390625,,,
183,183,3476.150390625,,,,
184,184,,3445.89013671875,,,
184,184,3445.89013671875,,,,
185,185,,3281.715087890625,,,
185,185,3281.715087890625,,,,
186,186,,3274.350830078125,,,
186,186,3274.350830078125,,,,
187,187,,3145.826904296875,,,
187,187,3145.826904296875,,,,
188,188,,3153.05126953125,,,
188,188,3153.05126953125,,,,
189,189,,3052.2802734375,,,
189,189,3052.2802734375,,,,
190,190,,3063.349365234375,,,
190,190,3063.349365234375,,,,
191,191,,2980.7998046875,,,
191,191,2980.7998046875,,,,
192,192,,2986.135498046875,,,
192,192,2986.135498046875,,,,
193,193,,2914.700927734375,,,
193,193,2914.700927734375,,,,
194,194,,2909.298828125,,,
194,194,2909.298828125,,,,
195,195,,2844.397216796875,,,
195,195,2844.397216796875,,,,
196,196,,2828.8359375,,,
196,196,2828.8359375,,,,
197,197,,2769.0458984375,,,
197,197,2769.0458984375,,,,
198,198,,2746.890625,,,
198,198,2746.890625,,,,
199,199,,2692.265380859375,,,
199,199,2692.265380859375,,,,
200,200,,2668.115234375,,,
200,200,2668.115234375,,,,
201,201,,2619.37939453125,,,
201,201,2619.37939453125,,,,
202,202,,2596.68115234375,,,
202,202,2596.68115234375,,,,
203,203,,2554.448486328125,,,
203,203,2554.448486328125,,,,
204,204,,2535.315185546875,,,
204,204,2535.315185546875,,,,
205,205,,2499.734375,,,
205,205,2499.734375,,,,
206,206,,2484.71923828125,,,
206,206,2484.71923828125,,,,
207,207,,2455.595703125,,,
207,207,2455.595703125,,,,
208,208,,2444.159912109375,,,
208,208,2444.159912109375,,,,
209,209,,2420.670654296875,,,
209,209,2420.670654296875,,,,
210,210,,2411.49951171875,,,
210,210,2411.49951171875,,,,
211,211,,2392.558349609375,,,
211,211,2392.558349609375,,,,
212,212,,2384.256103515625,,,
212,212,2384.256103515625,,,,
213,213,,2368.840576171875,,,
213,213,2368.840576171875,,,,
214,214,,2360.565673828125,,,
214,214,2360.565673828125,,,,
215,215,,2348.02685546875,,,
215,215,2348.02685546875,,,,
216,216,,2339.59130859375,,,
216,216,2339.59130859375,,,,
217,217,,2329.423583984375,,,
217,217,2329.423583984375,,,,
218,218,,2320.816650390625,,,
218,218,2320.816650390625,,,,
219,219,,2312.38330078125,,,
219,219,2312.38330078125,,,,
220,220,,2303.672119140625,,,
220,220,2303.672119140625,,,,
221,221,,2296.3662109375,,,
221,221,2296.3662109375,,,,
222,222,,2287.720947265625,,,
222,222,2287.720947265625,,,,
223,223,,2281.23291015625,,,
223,223,2281.23291015625,,,,
224,224,,2273.030517578125,,,
224,224,2273.030517578125,,,,
225,225,,2267.27685546875,,,
225,225,2267.27685546875,,,,
226,226,,2259.808837890625,,,
226,226,2259.808837890625,,,,
227,227,,2254.681884765625,,,
227,227,2254.681884765625,,,,
228,228,,2247.991455078125,,,
228,228,2247.991455078125,,,,
229,229,,2243.291748046875,,,
229,229,2243.291748046875,,,,
230,230,,2237.266357421875,,,
230,230,2237.266357421875,,,,
231,231,,2232.834228515625,,,
231,231,2232.834228515625,,,,
232,232,,2227.384033203125,,,
232,232,2227.384033203125,,,,
233,233,,2223.166748046875,,,
233,233,2223.166748046875,,,,
234,234,,2218.211669921875,,,
234,234,2218.211669921875,,,,
235,235,,2214.1435546875,,,
235,235,2214.1435546875,,,,
236,236,,2209.54931640625,,,
236,236,2209.54931640625,,,,
237,237,,2205.53564453125,,,
237,237,2205.53564453125,,,,
238,238,,2201.167236328125,,,
238,238,2201.167236328125,,,,
239,239,,2197.158935546875,,,
239,239,2197.158935546875,,,,
240,240,,2192.958740234375,,,
240,240,2192.958740234375,,,,
241,241,,2188.9755859375,,,
241,241,2188.9755859375,,,,
242,242,,2184.9296875,,,
242,242,2184.9296875,,,,
243,243,,2180.9892578125,,,
243,243,2180.9892578125,,,,
244,244,,2177.069580078125,,,
244,244,2177.069580078125,,,,
245,245,,2173.170654296875,,,
245,245,2173.170654296875,,,,
246,246,,2169.349609375,,,
246,246,2169.349609375,,,,
247,247,,2165.503662109375,,,
247,247,2165.503662109375,,,,
248,248,,2161.78076171875,,,
248,248,2161.78076171875,,,,
249,249,,2158.008544921875,,,
249,249,2158.008544921875,,,,
250,250,,2154.3798828125,,,
250,250,2154.3798828125,,,,
251,251,,2150.683349609375,,,
251,251,2150.683349609375,,,,
252,252,,2147.127197265625,,,
252,252,2147.127197265625,,,,
253,253,,2143.491943359375,,,
253,253,2143.491943359375,,,,
254,254,,2139.987060546875,,,
254,254,2139.987060546875,,,,
255,255,,2136.405517578125,,,
255,255,2136.405517578125,,,,
256,256,,2132.94140625,,,
256,256,2132.94140625,,,,
257,257,,2129.406982421875,,,
257,257,2129.406982421875,,,,
258,258,,2125.9697265625,,,
258,258,2125.9697265625,,,,
259,259,,2122.470947265625,,,
259,259,2122.470947265625,,,,
260,260,,2119.046630859375,,,
260,260,2119.046630859375,,,,
261,261,,2115.570556640625,,,
261,261,2115.570556640625,,,,
262,262,,2112.14990234375,,,
262,262,2112.14990234375,,,,
263,263,,2108.692626953125,,,
263,263,2108.692626953125,,,,
264,264,,2105.274169921875,,,
264,264,2105.274169921875,,,,
265,265,,2101.832275390625,,,
265,265,2101.832275390625,,,,
266,266,,2098.41259765625,,,
266,266,2098.41259765625,,,,
267,267,,2094.978271484375,,,
267,267,2094.978271484375,,,,
268,268,,2091.55419921875,,,
268,268,2091.55419921875,,,,
269,269,,2088.1240234375,,,
269,269,2088.1240234375,,,,
270,270,,2084.69580078125,,,
270,270,2084.69580078125,,,,
271,271,,2081.2685546875,,,
271,271,2081.2685546875,,,,
272,272,,2077.83642578125,,,
272,272,2077.83642578125,,,,
273,273,,2074.40869140625,,,
273,273,2074.40869140625,,,,
274,274,,2070.971923828125,,,
274,274,2070.971923828125,,,,
275,275,,2067.54052734375,,,
275,275,2067.54052734375,,,,
276,276,,2064.098388671875,,,
276,276,2064.098388671875,,,,
277,277,,2060.66162109375,,,
277,277,2060.66162109375,,,,
278,278,,2057.2138671875,,,
278,278,2057.2138671875,,,,
279,279,,2053.771240234375,,,
279,279,2053.771240234375,,,,
280,280,,2050.31689453125,,,
280,280,2050.31689453125,,,,
281,281,,2046.8662109375,,,
281,281,2046.8662109375,,,,
282,282,,2043.4052734375,,,
282,282,2043.4052734375,,,,
283,283,,2039.9456787109375,,,
283,283,2039.9456787109375,,,,
284,284,,2036.4765625,,,
284,284,2036.4765625,,,,
285,285,,2033.0074462890625,,,
285,285,2033.0074462890625,,,,
286,286,,2029.530517578125,,,
286,286,2029.530517578125,,,,
287,287,,2026.0504150390625,,,
287,287,2026.0504150390625,,,,
288,288,,2022.5640869140625,,,
288,288,2022.5640869140625,,,,
289,289,,2019.0733642578125,,,
289,289,2019.0733642578125,,,,
290,290,,2015.576416015625,,,
290,290,2015.576416015625,,,,
291,291,,2012.0748291015625,,,
291,291,2012.0748291015625,,,,
292,292,,2008.5675048828125,,,
292,292,2008.5675048828125,,,,
293,293,,2005.053955078125,,,
293,293,2005.053955078125,,,,
294,294,,2001.53515625,,,
294,294,2001.53515625,,,,
295,295,,1998.0098876953125,,,
295,295,1998.0098876953125,,,,
296,296,,1994.4791259765625,,,
296,296,1994.4791259765625,,,,
297,297,,1990.9420166015625,,,
297,297,1990.9420166015625,,,,
298,298,,1987.3988037109375,,,
298,298,1987.3988037109375,,,,
299,299,,1983.849853515625,,,
299,299,1983.849853515625,,,,
300,300,,1980.2945556640625,,,
300,300,1980.2945556640625,,,,
301,301,,1976.732666015625,,,
301,301,1976.732666015625,,,,
302,302,,1973.1640625,,,
302,302,1973.1640625,,,,
303,303,,1969.5889892578125,,,
303,303,1969.5889892578125,,,,
304,304,,1966.007568359375,,,
304,304,1966.007568359375,,,,
305,305,,1962.419189453125,,,
305,305,1962.419189453125,,,,
306,306,,1958.82470703125,,,
306,306,1958.82470703125,,,,
307,307,,1955.2230224609375,,,
307,307,1955.2230224609375,,,,
308,308,,1951.614990234375,,,
308,308,1951.614990234375,,,,
309,309,,1947.9996337890625,,,
309,309,1947.9996337890625,,,,
310,310,,1944.378173828125,,,
310,310,1944.378173828125,,,,
311,311,,1940.7491455078125,,,
311,311,1940.7491455078125,,,,
312,312,,1937.11279296875,,,
312,312,1937.11279296875,,,,
313,313,,1933.469970703125,,,
313,313,1933.469970703125,,,,
314,314,,1929.819580078125,,,
314,314,1929.819580078125,,,,
315,315,,1926.1624755859375,,,
315,315,1926.1624755859375,,,,
