epoch,step,train/loss_epoch,train/loss_step
0,0,,1.4278290271759033
0,0,1.4278290271759033,
1,1,,0.5816915035247803
1,1,0.5816915035247803,
2,2,,1.2407526969909668
2,2,1.2407526969909668,
3,3,,0.8509545922279358
3,3,0.8509545922279358,
4,4,,0.680885910987854
4,4,0.680885910987854,
5,5,,0.6013717651367188
5,5,0.6013717651367188,
6,6,,0.5815877914428711
6,6,0.5815877914428711,
7,7,,0.6361244320869446
7,7,0.6361244320869446,
8,8,,0.7277547717094421
8,8,0.7277547717094421,
9,9,,0.6902480721473694
9,9,0.6902480721473694,
10,10,,0.5625563263893127
10,10,0.5625563263893127,
11,11,,0.4863826334476471
11,11,0.4863826334476471,
12,12,,0.4716922640800476
12,12,0.4716922640800476,
13,13,,0.4918208122253418
13,13,0.4918208122253418,
14,14,,0.5327981114387512
14,14,0.5327981114387512,
15,15,,0.5672508478164673
15,15,0.5672508478164673,
16,16,,0.5501680374145508
16,16,0.5501680374145508,
17,17,,0.4995381832122803
17,17,0.4995381832122803,
18,18,,0.46484375
18,18,0.46484375,
19,19,,0.4563131630420685
19,19,0.4563131630420685,
20,20,,0.4640330672264099
20,20,0.4640330672264099,
21,21,,0.4789188802242279
21,21,0.4789188802242279,
22,22,,0.4917544722557068
22,22,0.4917544722557068,
23,23,,0.4929952919483185
23,23,0.4929952919483185,
24,24,,0.48185625672340393
24,24,0.48185625672340393,
25,25,,0.46719300746917725
25,25,0.46719300746917725,
26,26,,0.4563679099082947
26,26,0.4563679099082947,
27,27,,0.4509256184101105
27,27,0.4509256184101105,
28,28,,0.45053863525390625
28,28,0.45053863525390625,
29,29,,0.4547996520996094
29,29,0.4547996520996094,
30,30,,0.46017777919769287
30,30,0.46017777919769287,
31,31,,0.460354208946228
31,31,0.460354208946228,
32,32,,0.45437806844711304
32,32,0.45437806844711304,
33,33,,0.4476299285888672
33,33,0.4476299285888672,
34,34,,0.4435332119464874
34,34,0.4435332119464874,
35,35,,0.44191670417785645
35,35,0.44191670417785645,
36,36,,0.44245874881744385
36,36,0.44245874881744385,
37,37,,0.4448409974575043
37,37,0.4448409974575043,
38,38,,0.4466004967689514
38,38,0.4466004967689514,
39,39,,0.4449780285358429
39,39,0.4449780285358429,
40,40,,0.4410756230354309
40,40,0.4410756230354309,
41,41,,0.4379368722438812
41,41,0.4379368722438812,
42,42,,0.4366764426231384
42,42,0.4366764426231384,
43,43,,0.4369747042655945
43,43,0.4369747042655945,
44,44,,0.4383086562156677
44,44,0.4383086562156677,
45,45,,0.4393162131309509
45,45,0.4393162131309509,
46,46,,0.43829965591430664
46,46,0.43829965591430664,
47,47,,0.4356980323791504
47,47,0.4356980323791504,
48,48,,0.43367648124694824
48,48,0.43367648124694824,
49,49,,0.43324699997901917
49,49,0.43324699997901917,
50,50,,0.4338245689868927
50,50,0.4338245689868927,
51,51,,0.4344884753227234
51,51,0.4344884753227234,
52,52,,0.4344528615474701
52,52,0.4344528615474701,
53,53,,0.4332752525806427
53,53,0.4332752525806427,
54,54,,0.43151146173477173
54,54,0.43151146173477173,
55,55,,0.4303475618362427
55,55,0.4303475618362427,
56,56,,0.4302026927471161
56,56,0.4302026927471161,
57,57,,0.4304695427417755
57,57,0.4304695427417755,
58,58,,0.43043315410614014
58,58,0.43043315410614014,
59,59,,0.4298264980316162
59,59,0.4298264980316162,
60,60,,0.4287954866886139
60,60,0.4287954866886139,
61,61,,0.4277958273887634
61,61,0.4277958273887634,
62,62,,0.4272444248199463
62,62,0.4272444248199463,
63,63,,0.4270666837692261
63,63,0.4270666837692261,
64,64,,0.4268594980239868
64,64,0.4268594980239868,
65,65,,0.4263865351676941
65,65,0.4263865351676941,
66,66,,0.42568284273147583
66,66,0.42568284273147583,
67,67,,0.4248904287815094
67,67,0.4248904287815094,
68,68,,0.4241901934146881
68,68,0.4241901934146881,
69,69,,0.4237046241760254
69,69,0.4237046241760254,
70,70,,0.4233500063419342
70,70,0.4233500063419342,
71,71,,0.4229184091091156
71,71,0.4229184091091156,
72,72,,0.4222964644432068
72,72,0.4222964644432068,
73,73,,0.4215414226055145
73,73,0.4215414226055145,
74,74,,0.42080605030059814
74,74,0.42080605030059814,
75,75,,0.42021268606185913
75,75,0.42021268606185913,
76,76,,0.41972747445106506
76,76,0.41972747445106506,
77,77,,0.4191901385784149
77,77,0.4191901385784149,
78,78,,0.4185112714767456
78,78,0.4185112714767456,
79,79,,0.41776326298713684
79,79,0.41776326298713684,
80,80,,0.4170570373535156
80,80,0.4170570373535156,
81,81,,0.41641944646835327
81,81,0.41641944646835327,
82,82,,0.4158048927783966
82,82,0.4158048927783966,
83,83,,0.415154367685318
83,83,0.415154367685318,
84,84,,0.41444122791290283
84,84,0.41444122791290283,
85,85,,0.41369056701660156
85,85,0.41369056701660156,
86,86,,0.4129476547241211
86,86,0.4129476547241211,
87,87,,0.4122353196144104
87,87,0.4122353196144104,
88,88,,0.4115391969680786
88,88,0.4115391969680786,
89,89,,0.4108167588710785
89,89,0.4108167588710785,
90,90,,0.4100431799888611
90,90,0.4100431799888611,
91,91,,0.4092482924461365
91,91,0.4092482924461365,
92,92,,0.40847069025039673
92,92,0.40847069025039673,
93,93,,0.4077022969722748
93,93,0.4077022969722748,
94,94,,0.40691664814949036
94,94,0.40691664814949036,
95,95,,0.40610837936401367
95,95,0.40610837936401367,
96,96,,0.40528154373168945
96,96,0.40528154373168945,
97,97,,0.4044402837753296
97,97,0.4044402837753296,
98,98,,0.4035933017730713
98,98,0.4035933017730713,
99,99,,0.402742862701416
99,99,0.402742862701416,
100,100,,0.4018782675266266
100,100,0.4018782675266266,
101,101,,0.4009898602962494
101,101,0.4009898602962494,
102,102,,0.4000803232192993
102,102,0.4000803232192993,
103,103,,0.39915552735328674
103,103,0.39915552735328674,
104,104,,0.3982155919075012
104,104,0.3982155919075012,
105,105,,0.3972584009170532
105,105,0.3972584009170532,
106,106,,0.3962796926498413
106,106,0.3962796926498413,
107,107,,0.3952697515487671
107,107,0.3952697515487671,
108,108,,0.3942272365093231
108,108,0.3942272365093231,
109,109,,0.39316052198410034
109,109,0.39316052198410034,
110,110,,0.39206668734550476
110,110,0.39206668734550476,
111,111,,0.39093467593193054
111,111,0.39093467593193054,
112,112,,0.38975974917411804
112,112,0.38975974917411804,
113,113,,0.388539582490921
113,113,0.388539582490921,
114,114,,0.38727328181266785
114,114,0.38727328181266785,
115,115,,0.3859592080116272
115,115,0.3859592080116272,
116,116,,0.3845876157283783
116,116,0.3845876157283783,
117,117,,0.3831513822078705
117,117,0.3831513822078705,
118,118,,0.3816479444503784
118,118,0.3816479444503784,
119,119,,0.38007014989852905
119,119,0.38007014989852905,
120,120,,0.37841275334358215
120,120,0.37841275334358215,
121,121,,0.3766705095767975
121,121,0.3766705095767975,
122,122,,0.37483328580856323
122,122,0.37483328580856323,
123,123,,0.372893363237381
123,123,0.372893363237381,
124,124,,0.3708435297012329
