epoch,step,train/loss_epoch,train/loss_step,val/error_u,val/loss,val/loss_best
102,102,10129.166015625,,,,
103,103,,10097.666015625,,,
103,103,10097.666015625,,,,
104,104,,10064.1689453125,,,
104,104,10064.1689453125,,,,
105,105,,10028.533203125,,,
105,105,10028.533203125,,,,
106,106,,9990.6162109375,,,
106,106,9990.6162109375,,,,
107,107,,9950.2626953125,,,
107,107,9950.2626953125,,,,
108,108,,9907.3125,,,
108,108,9907.3125,,,,
109,109,,9861.595703125,,,
109,109,9861.595703125,,,,
110,110,,9812.9404296875,,,
110,110,9812.9404296875,,,,
111,111,,9761.1630859375,,,
111,111,9761.1630859375,,,,
112,112,,9706.0791015625,,,
112,112,9706.0791015625,,,,
113,113,,9647.4990234375,,,
113,113,9647.4990234375,,,,
114,114,,9585.2333984375,,,
114,114,9585.2333984375,,,,
115,115,,9519.08984375,,,
115,115,9519.08984375,,,,
116,116,,9448.876953125,,,
116,116,9448.876953125,,,,
117,117,,9374.4130859375,,,
117,117,9374.4130859375,,,,
118,118,,9295.517578125,,,
118,118,9295.517578125,,,,
119,119,,9212.021484375,,,
119,119,9212.021484375,,,,
120,120,,9123.767578125,,,
120,120,9123.767578125,,,,
121,121,,9030.6142578125,,,
121,121,9030.6142578125,,,,
122,122,,8932.431640625,,,
122,122,8932.431640625,,,,
123,123,,8829.11328125,,,
123,123,8829.11328125,,,,
124,124,,8720.5703125,,,
124,124,8720.5703125,,,,
125,125,,8606.7353515625,,,
125,125,8606.7353515625,,,,
126,126,,8487.56640625,,,
126,126,8487.56640625,,,,
127,127,,8363.0341796875,,,
127,127,8363.0341796875,,,,
128,128,,8233.140625,,,
128,128,8233.140625,,,,
129,129,,8097.908203125,,,
129,129,8097.908203125,,,,
130,130,,7957.3798828125,,,
130,130,7957.3798828125,,,,
131,131,,7811.6201171875,,,
131,131,7811.6201171875,,,,
132,132,,7660.7177734375,,,
132,132,7660.7177734375,,,,
133,133,,7504.78271484375,,,
133,133,7504.78271484375,,,,
134,134,,7343.947265625,,,
134,134,7343.947265625,,,,
135,135,,7178.36767578125,,,
135,135,7178.36767578125,,,,
136,136,,7008.22509765625,,,
136,136,7008.22509765625,,,,
137,137,,6833.724609375,,,
137,137,6833.724609375,,,,
138,138,,6655.10595703125,,,
138,138,6655.10595703125,,,,
139,139,,6472.63330078125,,,
139,139,6472.63330078125,,,,
140,140,,6286.6103515625,,,
140,140,6286.6103515625,,,,
141,141,,6097.380859375,,,
141,141,6097.380859375,,,,
142,142,,5905.32861328125,,,
142,142,5905.32861328125,,,,
143,143,,5710.890625,,,
143,143,5710.890625,,,,
144,144,,5514.55712890625,,,
144,144,5514.55712890625,,,,
145,145,,5316.87939453125,,,
145,145,5316.87939453125,,,,
146,146,,5118.48193359375,,,
146,146,5118.48193359375,,,,
147,147,,4920.05810546875,,,
147,147,4920.05810546875,,,,
148,148,,4722.3857421875,,,
148,148,4722.3857421875,,,,
149,149,,4526.32861328125,,,
149,149,4526.32861328125,,,,
150,150,,4332.8369140625,,,
150,150,4332.8369140625,,,,
151,151,,4142.9501953125,,,
151,151,4142.9501953125,,,,
152,152,,3957.789306640625,,,
152,152,3957.789306640625,,,,
153,153,,3778.55126953125,,,
153,153,3778.55126953125,,,,
154,154,,3606.48681640625,,,
154,154,3606.48681640625,,,,
155,155,,3442.8779296875,,,
155,155,3442.8779296875,,,,
156,156,,3289.002197265625,,,
156,156,3289.002197265625,,,,
157,157,,3146.08154296875,,,
157,157,3146.08154296875,,,,
158,158,,3015.223388671875,,,
158,158,3015.223388671875,,,,
159,159,,2897.35107421875,,,
159,159,2897.35107421875,,,,
160,160,,2793.121826171875,,,
160,160,2793.121826171875,,,,
161,161,,2702.845703125,,,
161,161,2702.845703125,,,,
162,162,,2626.41259765625,,,
162,162,2626.41259765625,,,,
163,163,,2563.235107421875,,,
163,163,2563.235107421875,,,,
164,164,,2512.2294921875,,,
164,164,2512.2294921875,,,,
165,165,,2471.843994140625,,,
165,165,2471.843994140625,,,,
166,166,,2440.1396484375,,,
166,166,2440.1396484375,,,,
167,167,,2414.927001953125,,,
167,167,2414.927001953125,,,,
168,168,,2393.93798828125,,,
168,168,2393.93798828125,,,,
169,169,,2375.0205078125,,,
169,169,2375.0205078125,,,,
170,170,,2356.312255859375,,,
170,170,2356.312255859375,,,,
171,171,,2336.381103515625,,,
171,171,2336.381103515625,,,,
172,172,,2314.301513671875,,,
172,172,2314.301513671875,,,,
173,173,,2289.662109375,,,
173,173,2289.662109375,,,,
174,174,,2262.51953125,,,
174,174,2262.51953125,,,,
175,175,,2233.30126953125,,,
175,175,2233.30126953125,,,,
176,176,,2202.68994140625,,,
176,176,2202.68994140625,,,,
177,177,,2171.500244140625,,,
177,177,2171.500244140625,,,,
178,178,,2140.568115234375,,,
178,178,2140.568115234375,,,,
179,179,,2110.66552734375,,,
179,179,2110.66552734375,,,,
180,180,,2082.432861328125,,,
180,180,2082.432861328125,,,,
181,181,,2056.34423828125,,,
181,181,2056.34423828125,,,,
182,182,,2032.6898193359375,,,
182,182,2032.6898193359375,,,,
183,183,,2011.5802001953125,,,
183,183,2011.5802001953125,,,,
184,184,,1992.963623046875,,,
184,184,1992.963623046875,,,,
185,185,,1976.6556396484375,,,
185,185,1976.6556396484375,,,,
186,186,,1962.372314453125,,,
186,186,1962.372314453125,,,,
187,187,,1949.772705078125,,,
187,187,1949.772705078125,,,,
188,188,,1938.4951171875,,,
188,188,1938.4951171875,,,,
189,189,,1928.193359375,,,
189,189,1928.193359375,,,,
190,190,,1918.56640625,,,
190,190,1918.56640625,,,,
191,191,,1909.373291015625,,,
191,191,1909.373291015625,,,,
192,192,,1900.444580078125,,,
192,192,1900.444580078125,,,,
193,193,,1891.6771240234375,,,
193,193,1891.6771240234375,,,,
194,194,,1883.02734375,,,
194,194,1883.02734375,,,,
195,195,,1874.4969482421875,,,
195,195,1874.4969482421875,,,,
196,196,,1866.1181640625,,,
196,196,1866.1181640625,,,,
197,197,,1857.9393310546875,,,
197,197,1857.9393310546875,,,,
198,198,,1850.013427734375,,,
198,198,1850.013427734375,,,,
199,199,,1842.388427734375,,,
199,199,1842.388427734375,,,,
200,200,,1835.1011962890625,,,
200,200,1835.1011962890625,,,,
201,201,,1828.17431640625,,,
201,201,1828.17431640625,,,,
202,202,,1821.6141357421875,,,
202,202,1821.6141357421875,,,,
203,203,,1815.412841796875,,,
203,203,1815.412841796875,,,,
204,204,,1809.5484619140625,,,
204,204,1809.5484619140625,,,,
205,205,,1803.9892578125,,,
205,205,1803.9892578125,,,,
206,206,,1798.6962890625,,,
206,206,1798.6962890625,,,,
207,207,,1793.6275634765625,,,
207,207,1793.6275634765625,,,,
208,208,,1788.7406005859375,,,
208,208,1788.7406005859375,,,,
209,209,,1783.9969482421875,,,
209,209,1783.9969482421875,,,,
210,210,,1779.362548828125,,,
210,210,1779.362548828125,,,,
211,211,,1774.810302734375,,,
211,211,1774.810302734375,,,,
212,212,,1770.3197021484375,,,
212,212,1770.3197021484375,,,,
213,213,,1765.87744140625,,,
213,213,1765.87744140625,,,,
214,214,,1761.4766845703125,,,
214,214,1761.4766845703125,,,,
215,215,,1757.115234375,,,
215,215,1757.115234375,,,,
216,216,,1752.79443359375,,,
216,216,1752.79443359375,,,,
217,217,,1748.51904296875,,,
217,217,1748.51904296875,,,,
218,218,,1744.293701171875,,,
218,218,1744.293701171875,,,,
219,219,,1740.123779296875,,,
219,219,1740.123779296875,,,,
220,220,,1736.0137939453125,,,
220,220,1736.0137939453125,,,,
221,221,,1731.965576171875,,,
221,221,1731.965576171875,,,,
222,222,,1727.97998046875,,,
222,222,1727.97998046875,,,,
223,223,,1724.055419921875,,,
223,223,1724.055419921875,,,,
224,224,,1720.187255859375,,,
224,224,1720.187255859375,,,,
225,225,,1716.370849609375,,,
225,225,1716.370849609375,,,,
226,226,,1712.5989990234375,,,
226,226,1712.5989990234375,,,,
227,227,,1708.865234375,,,
227,227,1708.865234375,,,,
228,228,,1705.1622314453125,,,
228,228,1705.1622314453125,,,,
229,229,,1701.4840087890625,,,
229,229,1701.4840087890625,,,,
230,230,,1697.825439453125,,,
230,230,1697.825439453125,,,,
231,231,,1694.181884765625,,,
231,231,1694.181884765625,,,,
232,232,,1690.551513671875,,,
232,232,1690.551513671875,,,,
233,233,,1686.9312744140625,,,
233,233,1686.9312744140625,,,,
234,234,,1683.3212890625,,,
234,234,1683.3212890625,,,,
235,235,,1679.7205810546875,,,
235,235,1679.7205810546875,,,,
236,236,,1676.1282958984375,,,
236,236,1676.1282958984375,,,,
237,237,,1672.5455322265625,,,
237,237,1672.5455322265625,,,,
238,238,,1668.97119140625,,,
238,238,1668.97119140625,,,,
239,239,,1665.405517578125,,,
239,239,1665.405517578125,,,,
240,240,,1661.8465576171875,,,
240,240,1661.8465576171875,,,,
241,241,,1658.2945556640625,,,
241,241,1658.2945556640625,,,,
242,242,,1654.747314453125,,,
242,242,1654.747314453125,,,,
243,243,,1651.203857421875,,,
243,243,1651.203857421875,,,,
244,244,,1647.662109375,,,
244,244,1647.662109375,,,,
245,245,,1644.1212158203125,,,
245,245,1644.1212158203125,,,,
246,246,,1640.5794677734375,,,
246,246,1640.5794677734375,,,,
247,247,,1637.0360107421875,,,
247,247,1637.0360107421875,,,,
248,248,,1633.4892578125,,,
248,248,1633.4892578125,,,,
249,249,,1629.939453125,,,
249,249,1629.939453125,,,,
250,250,,1626.3851318359375,,,
250,250,1626.3851318359375,,,,
251,251,,1622.8265380859375,,,
251,251,1622.8265380859375,,,,
252,252,,1619.263671875,,,
252,252,1619.263671875,,,,
253,253,,1615.695556640625,,,
253,253,1615.695556640625,,,,
254,254,,1612.122802734375,,,
254,254,1612.122802734375,,,,
255,255,,1608.5447998046875,,,
255,255,1608.5447998046875,,,,
256,256,,1604.96142578125,,,
256,256,1604.96142578125,,,,
257,257,,1601.372802734375,,,
257,257,1601.372802734375,,,,
258,258,,1597.7781982421875,,,
258,258,1597.7781982421875,,,,
259,259,,1594.17724609375,,,
259,259,1594.17724609375,,,,
260,260,,1590.570068359375,,,
260,260,1590.570068359375,,,,
261,261,,1586.956298828125,,,
261,261,1586.956298828125,,,,
262,262,,1583.33544921875,,,
262,262,1583.33544921875,,,,
263,263,,1579.7083740234375,,,
263,263,1579.7083740234375,,,,
264,264,,1576.07373046875,,,
264,264,1576.07373046875,,,,
265,265,,1572.4324951171875,,,
265,265,1572.4324951171875,,,,
266,266,,1568.78369140625,,,
266,266,1568.78369140625,,,,
267,267,,1565.1280517578125,,,
267,267,1565.1280517578125,,,,
268,268,,1561.46484375,,,
268,268,1561.46484375,,,,
269,269,,1557.7955322265625,,,
269,269,1557.7955322265625,,,,
270,270,,1554.1187744140625,,,
270,270,1554.1187744140625,,,,
271,271,,1550.43505859375,,,
271,271,1550.43505859375,,,,
272,272,,1546.7449951171875,,,
272,272,1546.7449951171875,,,,
273,273,,1543.0478515625,,,
273,273,1543.0478515625,,,,
274,274,,1539.34423828125,,,
274,274,1539.34423828125,,,,
275,275,,1535.6339111328125,,,
275,275,1535.6339111328125,,,,
276,276,,1531.917236328125,,,
276,276,1531.917236328125,,,,
277,277,,1528.194091796875,,,
277,277,1528.194091796875,,,,
278,278,,1524.464599609375,,,
278,278,1524.464599609375,,,,
279,279,,1520.72900390625,,,
279,279,1520.72900390625,,,,
280,280,,1516.9874267578125,,,
280,280,1516.9874267578125,,,,
281,281,,1513.239501953125,,,
281,281,1513.239501953125,,,,
282,282,,1509.4862060546875,,,
282,282,1509.4862060546875,,,,
283,283,,1505.7269287109375,,,
283,283,1505.7269287109375,,,,
284,284,,1501.9620361328125,,,
284,284,1501.9620361328125,,,,
285,285,,1498.191650390625,,,
285,285,1498.191650390625,,,,
286,286,,1494.4161376953125,,,
286,286,1494.4161376953125,,,,
287,287,,1490.63525390625,,,
287,287,1490.63525390625,,,,
288,288,,1486.8492431640625,,,
288,288,1486.8492431640625,,,,
289,289,,1483.05810546875,,,
289,289,1483.05810546875,,,,
290,290,,1479.26220703125,,,
290,290,1479.26220703125,,,,
291,291,,1475.4615478515625,,,
291,291,1475.4615478515625,,,,
292,292,,1471.6563720703125,,,
292,292,1471.6563720703125,,,,
293,293,,1467.845947265625,,,
293,293,1467.845947265625,,,,
294,294,,1464.031494140625,,,
294,294,1464.031494140625,,,,
295,295,,1460.21240234375,,,
295,295,1460.21240234375,,,,
296,296,,1456.388916015625,,,
296,296,1456.388916015625,,,,
297,297,,1452.56103515625,,,
297,297,1452.56103515625,,,,
298,298,,1448.7288818359375,,,
298,298,1448.7288818359375,,,,
299,299,,1444.892333984375,,,
299,299,1444.892333984375,,,,
300,300,,1441.0513916015625,,,
300,300,1441.0513916015625,,,,
301,301,,1437.206298828125,,,
301,301,1437.206298828125,,,,
302,302,,1433.3565673828125,,,
302,302,1433.3565673828125,,,,
303,303,,1429.502685546875,,,
303,303,1429.502685546875,,,,
304,304,,1425.6444091796875,,,
304,304,1425.6444091796875,,,,
305,305,,1421.78173828125,,,
305,305,1421.78173828125,,,,
306,306,,1417.9136962890625,,,
306,306,1417.9136962890625,,,,
307,307,,1414.041259765625,,,
307,307,1414.041259765625,,,,
308,308,,1410.163818359375,,,
308,308,1410.163818359375,,,,
309,309,,1406.2811279296875,,,
309,309,1406.2811279296875,,,,
310,310,,1402.39306640625,,,
310,310,1402.39306640625,,,,
311,311,,1398.4993896484375,,,
311,311,1398.4993896484375,,,,
312,312,,1394.599853515625,,,
312,312,1394.599853515625,,,,
313,313,,1390.6937255859375,,,
313,313,1390.6937255859375,,,,
314,314,,1386.7811279296875,,,
314,314,1386.7811279296875,,,,
315,315,,1382.861328125,,,
315,315,1382.861328125,,,,
316,316,,1378.93408203125,,,
316,316,1378.93408203125,,,,
317,317,,1374.998779296875,,,
317,317,1374.998779296875,,,,
318,318,,1371.0548095703125,,,
318,318,1371.0548095703125,,,,
